model_key,threads,layers,units,batch,lr,momentum,decay,step,epochs,train_time_s,best_val_pct,test_acc_pct,model_path,log_path
m1_L1_U64_B128_lr0.05_m0.9_d0.99_s4_T8,8,1,"64",128,0.05,0.9,0.99,4,60,34.4,97.95,97.78,runs/grid_20250929-122840/models/m1_L1_U64_B128_lr0.05_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m1_L1_U64_B128_lr0.05_m0.9_d0.99_s4_T8.train.log
m2_L1_U64_B128_lr0.05_m0.94_d0.99_s4_T8,8,1,"64",128,0.05,0.94,0.99,4,60,27.4,97.97,97.33,runs/grid_20250929-122840/models/m2_L1_U64_B128_lr0.05_m0.94_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m2_L1_U64_B128_lr0.05_m0.94_d0.99_s4_T8.train.log
m3_L1_U64_B128_lr0.05_m0.95_d0.99_s4_T8,8,1,"64",128,0.05,0.95,0.99,4,60,33.5,97.98,97.38,runs/grid_20250929-122840/models/m3_L1_U64_B128_lr0.05_m0.95_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m3_L1_U64_B128_lr0.05_m0.95_d0.99_s4_T8.train.log
m4_L1_U64_B128_lr0.1_m0.9_d0.99_s4_T8,8,1,"64",128,0.1,0.9,0.99,4,60,43.9,97.87,97.77,runs/grid_20250929-122840/models/m4_L1_U64_B128_lr0.1_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m4_L1_U64_B128_lr0.1_m0.9_d0.99_s4_T8.train.log
m5_L1_U64_B128_lr0.1_m0.94_d0.99_s4_T8,8,1,"64",128,0.1,0.94,0.99,4,60,18.5,97.47,96.64,runs/grid_20250929-122840/models/m5_L1_U64_B128_lr0.1_m0.94_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m5_L1_U64_B128_lr0.1_m0.94_d0.99_s4_T8.train.log
m6_L1_U64_B128_lr0.1_m0.95_d0.99_s4_T8,8,1,"64",128,0.1,0.95,0.99,4,60,30.1,97.32,96.63,runs/grid_20250929-122840/models/m6_L1_U64_B128_lr0.1_m0.95_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m6_L1_U64_B128_lr0.1_m0.95_d0.99_s4_T8.train.log
m7_L1_U128_B128_lr0.05_m0.9_d0.99_s4_T8,8,1,"128",128,0.05,0.9,0.99,4,60,73.9,98.07,97.88,runs/grid_20250929-122840/models/m7_L1_U128_B128_lr0.05_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m7_L1_U128_B128_lr0.05_m0.9_d0.99_s4_T8.train.log
m8_L1_U128_B128_lr0.05_m0.94_d0.99_s4_T8,8,1,"128",128,0.05,0.94,0.99,4,60,96.3,98.25,98.15,runs/grid_20250929-122840/models/m8_L1_U128_B128_lr0.05_m0.94_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m8_L1_U128_B128_lr0.05_m0.94_d0.99_s4_T8.train.log
m9_L1_U128_B128_lr0.05_m0.95_d0.99_s4_T8,8,1,"128",128,0.05,0.95,0.99,4,60,144.7,98.25,97.97,runs/grid_20250929-122840/models/m9_L1_U128_B128_lr0.05_m0.95_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m9_L1_U128_B128_lr0.05_m0.95_d0.99_s4_T8.train.log
m10_L1_U128_B128_lr0.1_m0.9_d0.99_s4_T8,8,1,"128",128,0.1,0.9,0.99,4,60,94.9,98.22,98.19,runs/grid_20250929-122840/models/m10_L1_U128_B128_lr0.1_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m10_L1_U128_B128_lr0.1_m0.9_d0.99_s4_T8.train.log
