model_key,threads,layers,units,batch,lr,momentum,decay,step,epochs,train_time_s,best_val_pct,test_acc_pct,model_path,log_path
m1_L1_U64_B128_lr0.025_m0.0_d0.9_s4_T8,8,1,"64",128,0.025,0.0,0.9,4,60,6.9,92.90,90.69,runs/grid_20250929-142217/models/m1_L1_U64_B128_lr0.025_m0.0_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m1_L1_U64_B128_lr0.025_m0.0_d0.9_s4_T8.train.log
m2_L1_U64_B128_lr0.025_m0.0_d0.95_s4_T8,8,1,"64",128,0.025,0.0,0.95,4,60,11.3,93.60,91.83,runs/grid_20250929-142217/models/m2_L1_U64_B128_lr0.025_m0.0_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m2_L1_U64_B128_lr0.025_m0.0_d0.95_s4_T8.train.log
m3_L1_U64_B128_lr0.025_m0.0_d0.99_s4_T8,8,1,"64",128,0.025,0.0,0.99,4,60,11.4,94.10,92.32,runs/grid_20250929-142217/models/m3_L1_U64_B128_lr0.025_m0.0_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m3_L1_U64_B128_lr0.025_m0.0_d0.99_s4_T8.train.log
m4_L1_U64_B128_lr0.025_m0.9_d0.9_s4_T8,8,1,"64",128,0.025,0.9,0.9,4,60,5.0,95.20,93.33,runs/grid_20250929-142217/models/m4_L1_U64_B128_lr0.025_m0.9_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m4_L1_U64_B128_lr0.025_m0.9_d0.9_s4_T8.train.log
m5_L1_U64_B128_lr0.025_m0.9_d0.95_s4_T8,8,1,"64",128,0.025,0.9,0.95,4,60,5.0,95.30,93.42,runs/grid_20250929-142217/models/m5_L1_U64_B128_lr0.025_m0.9_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m5_L1_U64_B128_lr0.025_m0.9_d0.95_s4_T8.train.log
m6_L1_U64_B128_lr0.025_m0.9_d0.99_s4_T8,8,1,"64",128,0.025,0.9,0.99,4,60,4.9,95.30,93.46,runs/grid_20250929-142217/models/m6_L1_U64_B128_lr0.025_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m6_L1_U64_B128_lr0.025_m0.9_d0.99_s4_T8.train.log
m7_L1_U64_B128_lr0.025_m0.92_d0.9_s4_T8,8,1,"64",128,0.025,0.92,0.9,4,60,4.5,95.20,93.57,runs/grid_20250929-142217/models/m7_L1_U64_B128_lr0.025_m0.92_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m7_L1_U64_B128_lr0.025_m0.92_d0.9_s4_T8.train.log
m8_L1_U64_B128_lr0.025_m0.92_d0.95_s4_T8,8,1,"64",128,0.025,0.92,0.95,4,60,4.6,95.30,93.55,runs/grid_20250929-142217/models/m8_L1_U64_B128_lr0.025_m0.92_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m8_L1_U64_B128_lr0.025_m0.92_d0.95_s4_T8.train.log
m9_L1_U64_B128_lr0.025_m0.92_d0.99_s4_T8,8,1,"64",128,0.025,0.92,0.99,4,60,4.5,95.50,93.65,runs/grid_20250929-142217/models/m9_L1_U64_B128_lr0.025_m0.92_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m9_L1_U64_B128_lr0.025_m0.92_d0.99_s4_T8.train.log
m10_L1_U64_B128_lr0.025_m0.94_d0.9_s4_T8,8,1,"64",128,0.025,0.94,0.9,4,60,6.8,95.40,94.27,runs/grid_20250929-142217/models/m10_L1_U64_B128_lr0.025_m0.94_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m10_L1_U64_B128_lr0.025_m0.94_d0.9_s4_T8.train.log
m11_L1_U64_B128_lr0.025_m0.94_d0.95_s4_T8,8,1,"64",128,0.025,0.94,0.95,4,60,7.0,95.60,94.50,runs/grid_20250929-142217/models/m11_L1_U64_B128_lr0.025_m0.94_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m11_L1_U64_B128_lr0.025_m0.94_d0.95_s4_T8.train.log
m12_L1_U64_B128_lr0.025_m0.94_d0.99_s4_T8,8,1,"64",128,0.025,0.94,0.99,4,60,4.3,95.30,94.06,runs/grid_20250929-142217/models/m12_L1_U64_B128_lr0.025_m0.94_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m12_L1_U64_B128_lr0.025_m0.94_d0.99_s4_T8.train.log
m13_L1_U64_B128_lr0.025_m0.96_d0.9_s4_T8,8,1,"64",128,0.025,0.96,0.9,4,60,4.4,95.80,94.41,runs/grid_20250929-142217/models/m13_L1_U64_B128_lr0.025_m0.96_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m13_L1_U64_B128_lr0.025_m0.96_d0.9_s4_T8.train.log
m14_L1_U64_B128_lr0.025_m0.96_d0.95_s4_T8,8,1,"64",128,0.025,0.96,0.95,4,60,6.0,95.80,94.59,runs/grid_20250929-142217/models/m14_L1_U64_B128_lr0.025_m0.96_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m14_L1_U64_B128_lr0.025_m0.96_d0.95_s4_T8.train.log
m15_L1_U64_B128_lr0.025_m0.96_d0.99_s4_T8,8,1,"64",128,0.025,0.96,0.99,4,60,4.6,95.80,94.37,runs/grid_20250929-142217/models/m15_L1_U64_B128_lr0.025_m0.96_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m15_L1_U64_B128_lr0.025_m0.96_d0.99_s4_T8.train.log
m16_L1_U64_B128_lr0.05_m0.0_d0.9_s4_T8,8,1,"64",128,0.05,0.0,0.9,4,60,9.8,94.10,92.11,runs/grid_20250929-142217/models/m16_L1_U64_B128_lr0.05_m0.0_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m16_L1_U64_B128_lr0.05_m0.0_d0.9_s4_T8.train.log
m17_L1_U64_B128_lr0.05_m0.0_d0.95_s4_T8,8,1,"64",128,0.05,0.0,0.95,4,60,12.6,94.80,92.63,runs/grid_20250929-142217/models/m17_L1_U64_B128_lr0.05_m0.0_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m17_L1_U64_B128_lr0.05_m0.0_d0.95_s4_T8.train.log
m18_L1_U64_B128_lr0.05_m0.0_d0.99_s4_T8,8,1,"64",128,0.05,0.0,0.99,4,60,12.2,94.80,92.87,runs/grid_20250929-142217/models/m18_L1_U64_B128_lr0.05_m0.0_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m18_L1_U64_B128_lr0.05_m0.0_d0.99_s4_T8.train.log
m19_L1_U64_B128_lr0.05_m0.9_d0.9_s4_T8,8,1,"64",128,0.05,0.9,0.9,4,60,4.5,95.40,94.34,runs/grid_20250929-142217/models/m19_L1_U64_B128_lr0.05_m0.9_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m19_L1_U64_B128_lr0.05_m0.9_d0.9_s4_T8.train.log
m20_L1_U64_B128_lr0.05_m0.9_d0.95_s4_T8,8,1,"64",128,0.05,0.9,0.95,4,60,6.4,95.70,94.41,runs/grid_20250929-142217/models/m20_L1_U64_B128_lr0.05_m0.9_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m20_L1_U64_B128_lr0.05_m0.9_d0.95_s4_T8.train.log
m21_L1_U64_B128_lr0.05_m0.9_d0.99_s4_T8,8,1,"64",128,0.05,0.9,0.99,4,60,6.8,95.70,94.48,runs/grid_20250929-142217/models/m21_L1_U64_B128_lr0.05_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m21_L1_U64_B128_lr0.05_m0.9_d0.99_s4_T8.train.log
m22_L1_U64_B128_lr0.05_m0.92_d0.9_s4_T8,8,1,"64",128,0.05,0.92,0.9,4,60,5.3,95.80,94.58,runs/grid_20250929-142217/models/m22_L1_U64_B128_lr0.05_m0.92_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m22_L1_U64_B128_lr0.05_m0.92_d0.9_s4_T8.train.log
m23_L1_U64_B128_lr0.05_m0.92_d0.95_s4_T8,8,1,"64",128,0.05,0.92,0.95,4,60,4.8,95.80,94.40,runs/grid_20250929-142217/models/m23_L1_U64_B128_lr0.05_m0.92_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m23_L1_U64_B128_lr0.05_m0.92_d0.95_s4_T8.train.log
m24_L1_U64_B128_lr0.05_m0.92_d0.99_s4_T8,8,1,"64",128,0.05,0.92,0.99,4,60,5.0,95.80,94.72,runs/grid_20250929-142217/models/m24_L1_U64_B128_lr0.05_m0.92_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m24_L1_U64_B128_lr0.05_m0.92_d0.99_s4_T8.train.log
m25_L1_U64_B128_lr0.05_m0.94_d0.9_s4_T8,8,1,"64",128,0.05,0.94,0.9,4,60,3.9,96.10,94.43,runs/grid_20250929-142217/models/m25_L1_U64_B128_lr0.05_m0.94_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m25_L1_U64_B128_lr0.05_m0.94_d0.9_s4_T8.train.log
m26_L1_U64_B128_lr0.05_m0.94_d0.95_s4_T8,8,1,"64",128,0.05,0.94,0.95,4,60,6.5,96.20,94.85,runs/grid_20250929-142217/models/m26_L1_U64_B128_lr0.05_m0.94_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m26_L1_U64_B128_lr0.05_m0.94_d0.95_s4_T8.train.log
m27_L1_U64_B128_lr0.05_m0.94_d0.99_s4_T8,8,1,"64",128,0.05,0.94,0.99,4,60,4.2,96.00,94.58,runs/grid_20250929-142217/models/m27_L1_U64_B128_lr0.05_m0.94_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m27_L1_U64_B128_lr0.05_m0.94_d0.99_s4_T8.train.log
m28_L1_U64_B128_lr0.05_m0.96_d0.9_s4_T8,8,1,"64",128,0.05,0.96,0.9,4,60,4.7,96.40,94.30,runs/grid_20250929-142217/models/m28_L1_U64_B128_lr0.05_m0.96_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m28_L1_U64_B128_lr0.05_m0.96_d0.9_s4_T8.train.log
