model_key,threads,layers,units,batch,lr,momentum,decay,step,epochs,train_time_s,best_val_pct,test_acc_pct,model_path,log_path
m1_L1_U64_B128_lr0.1_m0.9_d0.98_s4_T2,2,1,"64",128,0.1,0.9,0.98,4,60,9.2,96.20,94.98,runs/grid_20250929-061848/models/m1_L1_U64_B128_lr0.1_m0.9_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m1_L1_U64_B128_lr0.1_m0.9_d0.98_s4_T2.train.log
m2_L1_U64_B128_lr0.1_m0.9_d0.985_s4_T2,2,1,"64",128,0.1,0.9,0.985,4,60,9.3,96.20,94.98,runs/grid_20250929-061848/models/m2_L1_U64_B128_lr0.1_m0.9_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m2_L1_U64_B128_lr0.1_m0.9_d0.985_s4_T2.train.log
m3_L1_U64_B128_lr0.1_m0.9_d0.99_s4_T2,2,1,"64",128,0.1,0.9,0.99,4,60,9.3,96.10,95.06,runs/grid_20250929-061848/models/m3_L1_U64_B128_lr0.1_m0.9_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m3_L1_U64_B128_lr0.1_m0.9_d0.99_s4_T2.train.log
m4_L1_U64_B128_lr0.1_m0.91_d0.98_s4_T2,2,1,"64",128,0.1,0.91,0.98,4,60,9.5,96.20,94.99,runs/grid_20250929-061848/models/m4_L1_U64_B128_lr0.1_m0.91_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m4_L1_U64_B128_lr0.1_m0.91_d0.98_s4_T2.train.log
m5_L1_U64_B128_lr0.1_m0.91_d0.985_s4_T2,2,1,"64",128,0.1,0.91,0.985,4,60,9.4,96.20,94.90,runs/grid_20250929-061848/models/m5_L1_U64_B128_lr0.1_m0.91_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m5_L1_U64_B128_lr0.1_m0.91_d0.985_s4_T2.train.log
m6_L1_U64_B128_lr0.1_m0.91_d0.99_s4_T2,2,1,"64",128,0.1,0.91,0.99,4,60,12.7,96.20,95.05,runs/grid_20250929-061848/models/m6_L1_U64_B128_lr0.1_m0.91_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m6_L1_U64_B128_lr0.1_m0.91_d0.99_s4_T2.train.log
m7_L1_U64_B128_lr0.1_m0.92_d0.98_s4_T2,2,1,"64",128,0.1,0.92,0.98,4,60,6.0,96.00,94.40,runs/grid_20250929-061848/models/m7_L1_U64_B128_lr0.1_m0.92_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m7_L1_U64_B128_lr0.1_m0.92_d0.98_s4_T2.train.log
m8_L1_U64_B128_lr0.1_m0.92_d0.985_s4_T2,2,1,"64",128,0.1,0.92,0.985,4,60,6.0,96.10,94.37,runs/grid_20250929-061848/models/m8_L1_U64_B128_lr0.1_m0.92_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m8_L1_U64_B128_lr0.1_m0.92_d0.985_s4_T2.train.log
m9_L1_U64_B128_lr0.1_m0.92_d0.99_s4_T2,2,1,"64",128,0.1,0.92,0.99,4,60,6.0,96.00,94.34,runs/grid_20250929-061848/models/m9_L1_U64_B128_lr0.1_m0.92_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m9_L1_U64_B128_lr0.1_m0.92_d0.99_s4_T2.train.log
m10_L1_U64_B128_lr0.1_m0.93_d0.98_s4_T2,2,1,"64",128,0.1,0.93,0.98,4,60,8.3,96.10,94.90,runs/grid_20250929-061848/models/m10_L1_U64_B128_lr0.1_m0.93_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m10_L1_U64_B128_lr0.1_m0.93_d0.98_s4_T2.train.log
m11_L1_U64_B128_lr0.1_m0.93_d0.985_s4_T2,2,1,"64",128,0.1,0.93,0.985,4,60,7.2,95.90,94.50,runs/grid_20250929-061848/models/m11_L1_U64_B128_lr0.1_m0.93_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m11_L1_U64_B128_lr0.1_m0.93_d0.985_s4_T2.train.log
m12_L1_U64_B128_lr0.1_m0.93_d0.99_s4_T2,2,1,"64",128,0.1,0.93,0.99,4,60,6.4,96.00,94.07,runs/grid_20250929-061848/models/m12_L1_U64_B128_lr0.1_m0.93_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m12_L1_U64_B128_lr0.1_m0.93_d0.99_s4_T2.train.log
m13_L1_U64_B128_lr0.1_m0.94_d0.98_s4_T2,2,1,"64",128,0.1,0.94,0.98,4,60,6.0,96.20,94.09,runs/grid_20250929-061848/models/m13_L1_U64_B128_lr0.1_m0.94_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m13_L1_U64_B128_lr0.1_m0.94_d0.98_s4_T2.train.log
m14_L1_U64_B128_lr0.1_m0.94_d0.985_s4_T2,2,1,"64",128,0.1,0.94,0.985,4,60,5.9,96.40,94.20,runs/grid_20250929-061848/models/m14_L1_U64_B128_lr0.1_m0.94_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m14_L1_U64_B128_lr0.1_m0.94_d0.985_s4_T2.train.log
m15_L1_U64_B128_lr0.1_m0.94_d0.99_s4_T2,2,1,"64",128,0.1,0.94,0.99,4,60,6.0,96.40,94.26,runs/grid_20250929-061848/models/m15_L1_U64_B128_lr0.1_m0.94_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m15_L1_U64_B128_lr0.1_m0.94_d0.99_s4_T2.train.log
m16_L1_U64_B256_lr0.1_m0.9_d0.98_s4_T2,2,1,"64",256,0.1,0.9,0.98,4,60,12.6,96.00,94.60,runs/grid_20250929-061848/models/m16_L1_U64_B256_lr0.1_m0.9_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m16_L1_U64_B256_lr0.1_m0.9_d0.98_s4_T2.train.log
m17_L1_U64_B256_lr0.1_m0.9_d0.985_s4_T2,2,1,"64",256,0.1,0.9,0.985,4,60,9.3,95.80,94.50,runs/grid_20250929-061848/models/m17_L1_U64_B256_lr0.1_m0.9_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m17_L1_U64_B256_lr0.1_m0.9_d0.985_s4_T2.train.log
m18_L1_U64_B256_lr0.1_m0.9_d0.99_s4_T2,2,1,"64",256,0.1,0.9,0.99,4,60,9.5,95.80,94.55,runs/grid_20250929-061848/models/m18_L1_U64_B256_lr0.1_m0.9_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m18_L1_U64_B256_lr0.1_m0.9_d0.99_s4_T2.train.log
m19_L1_U64_B256_lr0.1_m0.91_d0.98_s4_T2,2,1,"64",256,0.1,0.91,0.98,4,60,8.2,95.90,94.36,runs/grid_20250929-061848/models/m19_L1_U64_B256_lr0.1_m0.91_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m19_L1_U64_B256_lr0.1_m0.91_d0.98_s4_T2.train.log
m20_L1_U64_B256_lr0.1_m0.91_d0.985_s4_T2,2,1,"64",256,0.1,0.91,0.985,4,60,8.2,95.70,94.37,runs/grid_20250929-061848/models/m20_L1_U64_B256_lr0.1_m0.91_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m20_L1_U64_B256_lr0.1_m0.91_d0.985_s4_T2.train.log
m21_L1_U64_B256_lr0.1_m0.91_d0.99_s4_T2,2,1,"64",256,0.1,0.91,0.99,4,60,8.2,95.80,94.45,runs/grid_20250929-061848/models/m21_L1_U64_B256_lr0.1_m0.91_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m21_L1_U64_B256_lr0.1_m0.91_d0.99_s4_T2.train.log
m22_L1_U64_B256_lr0.1_m0.92_d0.98_s4_T2,2,1,"64",256,0.1,0.92,0.98,4,60,7.6,95.70,94.43,runs/grid_20250929-061848/models/m22_L1_U64_B256_lr0.1_m0.92_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m22_L1_U64_B256_lr0.1_m0.92_d0.98_s4_T2.train.log
m23_L1_U64_B256_lr0.1_m0.92_d0.985_s4_T2,2,1,"64",256,0.1,0.92,0.985,4,60,7.6,95.80,94.44,runs/grid_20250929-061848/models/m23_L1_U64_B256_lr0.1_m0.92_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m23_L1_U64_B256_lr0.1_m0.92_d0.985_s4_T2.train.log
m24_L1_U64_B256_lr0.1_m0.92_d0.99_s4_T2,2,1,"64",256,0.1,0.92,0.99,4,60,7.9,95.70,94.39,runs/grid_20250929-061848/models/m24_L1_U64_B256_lr0.1_m0.92_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m24_L1_U64_B256_lr0.1_m0.92_d0.99_s4_T2.train.log
m25_L1_U64_B256_lr0.1_m0.93_d0.98_s4_T2,2,1,"64",256,0.1,0.93,0.98,4,60,7.6,96.30,94.31,runs/grid_20250929-061848/models/m25_L1_U64_B256_lr0.1_m0.93_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m25_L1_U64_B256_lr0.1_m0.93_d0.98_s4_T2.train.log
m26_L1_U64_B256_lr0.1_m0.93_d0.985_s4_T2,2,1,"64",256,0.1,0.93,0.985,4,60,7.6,96.30,94.31,runs/grid_20250929-061848/models/m26_L1_U64_B256_lr0.1_m0.93_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m26_L1_U64_B256_lr0.1_m0.93_d0.985_s4_T2.train.log
m27_L1_U64_B256_lr0.1_m0.93_d0.99_s4_T2,2,1,"64",256,0.1,0.93,0.99,4,60,7.5,96.40,94.32,runs/grid_20250929-061848/models/m27_L1_U64_B256_lr0.1_m0.93_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m27_L1_U64_B256_lr0.1_m0.93_d0.99_s4_T2.train.log
m28_L1_U64_B256_lr0.1_m0.94_d0.98_s4_T2,2,1,"64",256,0.1,0.94,0.98,4,60,7.4,96.10,94.60,runs/grid_20250929-061848/models/m28_L1_U64_B256_lr0.1_m0.94_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m28_L1_U64_B256_lr0.1_m0.94_d0.98_s4_T2.train.log
m29_L1_U64_B256_lr0.1_m0.94_d0.985_s4_T2,2,1,"64",256,0.1,0.94,0.985,4,60,7.5,96.10,94.59,runs/grid_20250929-061848/models/m29_L1_U64_B256_lr0.1_m0.94_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m29_L1_U64_B256_lr0.1_m0.94_d0.985_s4_T2.train.log
m30_L1_U64_B256_lr0.1_m0.94_d0.99_s4_T2,2,1,"64",256,0.1,0.94,0.99,4,60,7.4,96.20,94.61,runs/grid_20250929-061848/models/m30_L1_U64_B256_lr0.1_m0.94_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m30_L1_U64_B256_lr0.1_m0.94_d0.99_s4_T2.train.log
m31_L1_U64_B512_lr0.1_m0.9_d0.98_s4_T2,2,1,"64",512,0.1,0.9,0.98,4,60,9.6,95.50,93.63,runs/grid_20250929-061848/models/m31_L1_U64_B512_lr0.1_m0.9_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m31_L1_U64_B512_lr0.1_m0.9_d0.98_s4_T2.train.log
m32_L1_U64_B512_lr0.1_m0.9_d0.985_s4_T2,2,1,"64",512,0.1,0.9,0.985,4,60,9.5,95.50,93.59,runs/grid_20250929-061848/models/m32_L1_U64_B512_lr0.1_m0.9_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m32_L1_U64_B512_lr0.1_m0.9_d0.985_s4_T2.train.log
m33_L1_U64_B512_lr0.1_m0.9_d0.99_s4_T2,2,1,"64",512,0.1,0.9,0.99,4,60,9.6,95.50,93.64,runs/grid_20250929-061848/models/m33_L1_U64_B512_lr0.1_m0.9_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m33_L1_U64_B512_lr0.1_m0.9_d0.99_s4_T2.train.log
m34_L1_U64_B512_lr0.1_m0.91_d0.98_s4_T2,2,1,"64",512,0.1,0.91,0.98,4,60,9.5,95.50,93.63,runs/grid_20250929-061848/models/m34_L1_U64_B512_lr0.1_m0.91_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m34_L1_U64_B512_lr0.1_m0.91_d0.98_s4_T2.train.log
m35_L1_U64_B512_lr0.1_m0.91_d0.985_s4_T2,2,1,"64",512,0.1,0.91,0.985,4,60,9.4,95.50,93.64,runs/grid_20250929-061848/models/m35_L1_U64_B512_lr0.1_m0.91_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m35_L1_U64_B512_lr0.1_m0.91_d0.985_s4_T2.train.log
m36_L1_U64_B512_lr0.1_m0.91_d0.99_s4_T2,2,1,"64",512,0.1,0.91,0.99,4,60,9.6,95.60,93.69,runs/grid_20250929-061848/models/m36_L1_U64_B512_lr0.1_m0.91_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m36_L1_U64_B512_lr0.1_m0.91_d0.99_s4_T2.train.log
m37_L1_U64_B512_lr0.1_m0.92_d0.98_s4_T2,2,1,"64",512,0.1,0.92,0.98,4,60,8.8,95.50,93.85,runs/grid_20250929-061848/models/m37_L1_U64_B512_lr0.1_m0.92_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m37_L1_U64_B512_lr0.1_m0.92_d0.98_s4_T2.train.log
m38_L1_U64_B512_lr0.1_m0.92_d0.985_s4_T2,2,1,"64",512,0.1,0.92,0.985,4,60,8.9,95.50,93.84,runs/grid_20250929-061848/models/m38_L1_U64_B512_lr0.1_m0.92_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m38_L1_U64_B512_lr0.1_m0.92_d0.985_s4_T2.train.log
m39_L1_U64_B512_lr0.1_m0.92_d0.99_s4_T2,2,1,"64",512,0.1,0.92,0.99,4,60,9.4,95.60,93.79,runs/grid_20250929-061848/models/m39_L1_U64_B512_lr0.1_m0.92_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m39_L1_U64_B512_lr0.1_m0.92_d0.99_s4_T2.train.log
m40_L1_U64_B512_lr0.1_m0.93_d0.98_s4_T2,2,1,"64",512,0.1,0.93,0.98,4,60,8.3,95.50,94.15,runs/grid_20250929-061848/models/m40_L1_U64_B512_lr0.1_m0.93_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m40_L1_U64_B512_lr0.1_m0.93_d0.98_s4_T2.train.log
m41_L1_U64_B512_lr0.1_m0.93_d0.985_s4_T2,2,1,"64",512,0.1,0.93,0.985,4,60,8.4,95.40,94.08,runs/grid_20250929-061848/models/m41_L1_U64_B512_lr0.1_m0.93_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m41_L1_U64_B512_lr0.1_m0.93_d0.985_s4_T2.train.log
m42_L1_U64_B512_lr0.1_m0.93_d0.99_s4_T2,2,1,"64",512,0.1,0.93,0.99,4,60,8.3,95.50,94.10,runs/grid_20250929-061848/models/m42_L1_U64_B512_lr0.1_m0.93_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m42_L1_U64_B512_lr0.1_m0.93_d0.99_s4_T2.train.log
m43_L1_U64_B512_lr0.1_m0.94_d0.98_s4_T2,2,1,"64",512,0.1,0.94,0.98,4,60,8.3,95.60,94.13,runs/grid_20250929-061848/models/m43_L1_U64_B512_lr0.1_m0.94_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m43_L1_U64_B512_lr0.1_m0.94_d0.98_s4_T2.train.log
m44_L1_U64_B512_lr0.1_m0.94_d0.985_s4_T2,2,1,"64",512,0.1,0.94,0.985,4,60,9.0,95.70,93.97,runs/grid_20250929-061848/models/m44_L1_U64_B512_lr0.1_m0.94_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m44_L1_U64_B512_lr0.1_m0.94_d0.985_s4_T2.train.log
m45_L1_U64_B512_lr0.1_m0.94_d0.99_s4_T2,2,1,"64",512,0.1,0.94,0.99,4,60,8.4,95.60,94.12,runs/grid_20250929-061848/models/m45_L1_U64_B512_lr0.1_m0.94_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m45_L1_U64_B512_lr0.1_m0.94_d0.99_s4_T2.train.log
m46_L1_U128_B128_lr0.1_m0.9_d0.98_s4_T2,2,1,"128",128,0.1,0.9,0.98,4,60,18.3,96.70,95.31,runs/grid_20250929-061848/models/m46_L1_U128_B128_lr0.1_m0.9_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m46_L1_U128_B128_lr0.1_m0.9_d0.98_s4_T2.train.log
m47_L1_U128_B128_lr0.1_m0.9_d0.985_s4_T2,2,1,"128",128,0.1,0.9,0.985,4,60,18.3,96.60,95.28,runs/grid_20250929-061848/models/m47_L1_U128_B128_lr0.1_m0.9_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m47_L1_U128_B128_lr0.1_m0.9_d0.985_s4_T2.train.log
m48_L1_U128_B128_lr0.1_m0.9_d0.99_s4_T2,2,1,"128",128,0.1,0.9,0.99,4,60,18.8,96.50,95.26,runs/grid_20250929-061848/models/m48_L1_U128_B128_lr0.1_m0.9_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m48_L1_U128_B128_lr0.1_m0.9_d0.99_s4_T2.train.log
m49_L1_U128_B128_lr0.1_m0.91_d0.98_s4_T2,2,1,"128",128,0.1,0.91,0.98,4,60,19.7,96.90,95.19,runs/grid_20250929-061848/models/m49_L1_U128_B128_lr0.1_m0.91_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m49_L1_U128_B128_lr0.1_m0.91_d0.98_s4_T2.train.log
m50_L1_U128_B128_lr0.1_m0.91_d0.985_s4_T2,2,1,"128",128,0.1,0.91,0.985,4,60,19.3,96.90,95.11,runs/grid_20250929-061848/models/m50_L1_U128_B128_lr0.1_m0.91_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m50_L1_U128_B128_lr0.1_m0.91_d0.985_s4_T2.train.log
m51_L1_U128_B128_lr0.1_m0.91_d0.99_s4_T2,2,1,"128",128,0.1,0.91,0.99,4,60,19.2,96.90,95.23,runs/grid_20250929-061848/models/m51_L1_U128_B128_lr0.1_m0.91_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m51_L1_U128_B128_lr0.1_m0.91_d0.99_s4_T2.train.log
